element,n,pearson,spearman,r2,rmse,mae
1,241636,0.298453822688141,0.288472525223228,0.0887450461601983,0.0701730080592378,0.0556368401912852
16,1796,0.208078716169109,0.192886904697482,0.0246068802785915,1.347561251271,1.12276649752576
6,147051,0.78856268975202,0.787614499431173,0.621830106806819,0.40254260714645,0.277765079402083
7,41425,0.497548748045787,0.440859807227841,0.247514437028741,0.616511175928544,0.476450838467949
8,43208,0.314966387118336,0.246129774183844,0.0991119125817891,2.28592233374488,1.84815475408966
