variant,element,n,pearson,spearman,r2,rmse,mae
proxy_only,1,241636,0.22969076683994594,0.22235187958557728,0.052433894423427274,0.07155745748485666,0.05683216445616631
identity_proxy,1,241636,0.2811137085845083,0.27173697595810115,0.07873353594952981,0.07055743324234826,0.05599080296158855
atom_interaction_proxy,1,241636,0.3286456716829529,0.31662741866518257,0.10714802219933506,0.0694608150333592,0.05503158485364834
proxy_only,6,147051,0.7733005122031141,0.7675856626167888,0.5979936545104083,0.4150351064046407,0.2940656895959794
identity_proxy,6,147051,0.788912841394012,0.7856666822696144,0.6223831238039369,0.40224817023870124,0.2775994462130927
atom_interaction_proxy,6,147051,0.7917452449096147,0.7956715823892354,0.6268468178012465,0.3998636761881163,0.2737167075868813
proxy_only,7,41425,0.4641522512027094,0.381659904306217,0.21543532608065175,0.6295152313740083,0.4854038293522221
identity_proxy,7,41425,0.49252537048514616,0.4245194516672115,0.24257579359370451,0.6185309817743101,0.4777401769611747
atom_interaction_proxy,7,41425,0.4993018273392488,0.4293668440425396,0.24909683537057814,0.6158626055579279,0.47507170291419976
proxy_only,8,43208,0.31166265193636994,0.25365994156730903,0.09713089300349653,2.288434282907546,1.8564808385303497
identity_proxy,8,43208,0.32244664244981325,0.2667774423510492,0.10395126480597627,2.279774356193165,1.8410686696829748
atom_interaction_proxy,8,43208,0.3300139984252426,0.2761741971051436,0.1088359439302703,2.27355193558148,1.8287518175636621
proxy_only,16,1796,0.13770471102166862,0.13059018558319369,0.015094628103588414,1.3541161683670264,1.1339563825668444
identity_proxy,16,1796,0.13830038919798313,0.13173804148126972,0.01492815910070655,1.354230600093414,1.1346870052852591
atom_interaction_proxy,16,1796,0.19300229618742087,0.1732713031395919,0.032191515359311196,1.342311723228386,1.1186283564475248
