fold,step,elapsed_sec
fold_01,L0,0.33949613571167
fold_01,L1,1.1865930557251
fold_01,L2,1.99674034118652
fold_01,L3,3.74645686149597
fold_01,L4,6.73364162445068
fold_01,L5,15.4898021221161
fold_01,L6,10.1269903182983
fold_02,L0,0.278257608413696
fold_02,L1,0.674960374832153
fold_02,L2,1.99640130996704
fold_02,L3,3.80360198020935
fold_02,L4,8.60654592514038
fold_02,L5,15.9625806808472
fold_02,L6,84.1311614513397
fold_03,L0,0.264685392379761
fold_03,L1,0.656004428863525
fold_03,L2,1.79686260223389
fold_03,L3,3.63999724388123
fold_03,L4,7.03857803344727
fold_03,L5,8.36402344703674
fold_03,L6,9.62820243835449
