element,n,family,converged,elapsed_sec,dev_expl,r_sq,scale_dev_expl,scale_r_sq,edf,mu_formula,sigma_formula,adjustment
1,545040,gaussian_bam_mean_plus_log_resid_scale_bam,TRUE,9.97038674354553,0.980985056632169,0.980956441143369,0.202927062989481,0.202921213288548,824.993840259855,"target_T0 ~ dataset_id + iupac_role + s(residue_type, bs = ""re"") +      s(equivalence_class, bs = ""re"") + s(protein_id, bs = ""re"") +      te(phi_model, psi_model, bs = c(""cc"", ""cc""), k = c(8, 8),          by = phi_present) + phi_present + s(chi1_model, bs = ""cc"",      k = 6, by = chi1_exists) + chi1_exists + s(chi2_model, bs = ""cc"",      k = 6, by = chi2_exists) + chi2_exists + s(chi3_model, bs = ""cc"",      k = 6, by = chi3_exists) + chi3_exists + s(chi4_model, bs = ""cc"",      k = 6, by = chi4_exists) + chi4_exists + prev_class + next_class +      pre_proline + dssp_ss3 + rama_region + s(nearest_ring_dist,      k = 6) + s(nearest_bond_dist, k = 6) + s(nearest_atom_dist,      k = 6) + s(ring_cyl_z, k = 6) + s(ring_cyl_rho, k = 6) +      s(ring_angle_to_normal, k = 6) + n_atoms_4A + n_rings_4A +      n_charges_4A + n_bonds_4A + n_atoms_6A + n_rings_6A + n_charges_6A +      n_bonds_6A + n_atoms_8A + n_rings_8A + n_charges_8A + n_bonds_8A +      n_atoms_10A + n_rings_10A + n_charges_10A + n_bonds_10A +      nearest_charge_sign + ring_bs_T0 + ring_bs_absT2 + ring_hm_T0 +      ring_hm_absT2 + mopac_efield_mag + apbs_efield_mag + aimnet2_charge +      ff14sb_charge + mopac_charge + eeq_charge + eeq_cn + sasa +      larsen_hbond_count + larsen_hbond_absT2 + dataset_id:ring_bs_T0 +      dataset_id:ring_bs_absT2 + dataset_id:ring_hm_T0 + dataset_id:ring_hm_absT2 +      dataset_id:mopac_efield_mag + dataset_id:apbs_efield_mag +      dataset_id:aimnet2_charge + dataset_id:ff14sb_charge + dataset_id:mopac_charge +      dataset_id:eeq_charge + dataset_id:eeq_cn + dataset_id:sasa +      dataset_id:larsen_hbond_count + dataset_id:larsen_hbond_absT2",log_sigma_work ~ dataset_id + iupac_role,general families not supported by bam
6,358082,gaussian_bam_mean_plus_log_resid_scale_bam,TRUE,6.43368673324585,0.95294284059347,0.95284590329635,0.0389439753840904,0.0389412914698125,739.127011573842,"target_T0 ~ dataset_id + s(residue_type, bs = ""re"") + s(equivalence_class,      bs = ""re"") + s(protein_id, bs = ""re"") + te(phi_model, psi_model,      bs = c(""cc"", ""cc""), k = c(8, 8), by = phi_present) + phi_present +      s(chi1_model, bs = ""cc"", k = 6, by = chi1_exists) + chi1_exists +      s(chi2_model, bs = ""cc"", k = 6, by = chi2_exists) + chi2_exists +      s(chi3_model, bs = ""cc"", k = 6, by = chi3_exists) + chi3_exists +      s(chi4_model, bs = ""cc"", k = 6, by = chi4_exists) + chi4_exists +      prev_class + next_class + pre_proline + dssp_ss3 + rama_region +      s(nearest_ring_dist, k = 6) + s(nearest_bond_dist, k = 6) +      s(nearest_atom_dist, k = 6) + s(ring_cyl_z, k = 6) + s(ring_cyl_rho,      k = 6) + s(ring_angle_to_normal, k = 6) + n_atoms_4A + n_rings_4A +      n_charges_4A + n_bonds_4A + n_atoms_6A + n_rings_6A + n_charges_6A +      n_bonds_6A + n_atoms_8A + n_rings_8A + n_charges_8A + n_bonds_8A +      n_atoms_10A + n_rings_10A + n_charges_10A + n_bonds_10A +      nearest_charge_sign + ring_bs_T0 + ring_bs_absT2 + ring_hm_T0 +      ring_hm_absT2 + mopac_efield_mag + apbs_efield_mag + aimnet2_charge +      ff14sb_charge + mopac_charge + eeq_charge + eeq_cn + sasa +      larsen_hbond_count + larsen_hbond_absT2 + dataset_id:ring_bs_T0 +      dataset_id:ring_bs_absT2 + dataset_id:ring_hm_T0 + dataset_id:ring_hm_absT2 +      dataset_id:mopac_efield_mag + dataset_id:apbs_efield_mag +      dataset_id:aimnet2_charge + dataset_id:ff14sb_charge + dataset_id:mopac_charge +      dataset_id:eeq_charge + dataset_id:eeq_cn + dataset_id:sasa +      dataset_id:larsen_hbond_count + dataset_id:larsen_hbond_absT2",log_sigma_work ~ dataset_id,general families not supported by bam
7,96248,gaussian_bam_mean_plus_log_resid_scale_bam,TRUE,2.61075925827026,0.916714554192623,0.916093036206239,0.187724037406033,0.187715597824516,715.923444381467,"target_T0 ~ dataset_id + s(residue_type, bs = ""re"") + s(equivalence_class,      bs = ""re"") + s(protein_id, bs = ""re"") + te(phi_model, psi_model,      bs = c(""cc"", ""cc""), k = c(6, 6), by = phi_present) + phi_present +      s(chi1_model, bs = ""cc"", k = 5, by = chi1_exists) + chi1_exists +      s(chi2_model, bs = ""cc"", k = 5, by = chi2_exists) + chi2_exists +      s(chi3_model, bs = ""cc"", k = 5, by = chi3_exists) + chi3_exists +      s(chi4_model, bs = ""cc"", k = 5, by = chi4_exists) + chi4_exists +      prev_class + next_class + pre_proline + dssp_ss3 + rama_region +      s(nearest_ring_dist, k = 6) + s(nearest_bond_dist, k = 6) +      s(nearest_atom_dist, k = 6) + s(ring_cyl_z, k = 6) + s(ring_cyl_rho,      k = 6) + s(ring_angle_to_normal, k = 6) + n_atoms_4A + n_rings_4A +      n_charges_4A + n_bonds_4A + n_atoms_6A + n_rings_6A + n_charges_6A +      n_bonds_6A + n_atoms_8A + n_rings_8A + n_charges_8A + n_bonds_8A +      n_atoms_10A + n_rings_10A + n_charges_10A + n_bonds_10A +      nearest_charge_sign + ring_bs_T0 + ring_bs_absT2 + ring_hm_T0 +      ring_hm_absT2 + mopac_efield_mag + apbs_efield_mag + aimnet2_charge +      ff14sb_charge + mopac_charge + eeq_charge + eeq_cn + sasa +      larsen_hbond_count + larsen_hbond_absT2 + dataset_id:ring_bs_T0 +      dataset_id:ring_bs_absT2 + dataset_id:ring_hm_T0 + dataset_id:ring_hm_absT2 +      dataset_id:mopac_efield_mag + dataset_id:apbs_efield_mag +      dataset_id:aimnet2_charge + dataset_id:ff14sb_charge + dataset_id:mopac_charge +      dataset_id:eeq_charge + dataset_id:eeq_cn + dataset_id:sasa +      dataset_id:larsen_hbond_count + dataset_id:larsen_hbond_absT2",log_sigma_work ~ dataset_id,general families not supported by bam
8,104039,gaussian_bam_mean_plus_log_resid_scale_bam,TRUE,2.82449102401733,0.532499446116223,0.529823546529693,0.370180439341527,0.37017438553797,595.108003556222,"target_T0 ~ dataset_id + s(residue_type, bs = ""re"") + s(equivalence_class,      bs = ""re"") + s(protein_id, bs = ""re"") + te(phi_model, psi_model,      bs = c(""cc"", ""cc""), k = c(8, 8), by = phi_present) + phi_present +      s(chi1_model, bs = ""cc"", k = 6, by = chi1_exists) + chi1_exists +      s(chi2_model, bs = ""cc"", k = 6, by = chi2_exists) + chi2_exists +      s(chi3_model, bs = ""cc"", k = 6, by = chi3_exists) + chi3_exists +      s(chi4_model, bs = ""cc"", k = 6, by = chi4_exists) + chi4_exists +      prev_class + next_class + pre_proline + dssp_ss3 + rama_region +      s(nearest_ring_dist, k = 6) + s(nearest_bond_dist, k = 6) +      s(nearest_atom_dist, k = 6) + s(ring_cyl_z, k = 6) + s(ring_cyl_rho,      k = 6) + s(ring_angle_to_normal, k = 6) + n_atoms_4A + n_rings_4A +      n_charges_4A + n_bonds_4A + n_atoms_6A + n_rings_6A + n_charges_6A +      n_bonds_6A + n_atoms_8A + n_rings_8A + n_charges_8A + n_bonds_8A +      n_atoms_10A + n_rings_10A + n_charges_10A + n_bonds_10A +      nearest_charge_sign + ring_bs_T0 + ring_bs_absT2 + ring_hm_T0 +      ring_hm_absT2 + mopac_efield_mag + apbs_efield_mag + aimnet2_charge +      ff14sb_charge + mopac_charge + eeq_charge + eeq_cn + sasa +      dataset_id:ring_bs_T0 + dataset_id:ring_bs_absT2 + dataset_id:ring_hm_T0 +      dataset_id:ring_hm_absT2 + dataset_id:mopac_efield_mag +      dataset_id:apbs_efield_mag + dataset_id:aimnet2_charge +      dataset_id:ff14sb_charge + dataset_id:mopac_charge + dataset_id:eeq_charge +      dataset_id:eeq_cn + dataset_id:sasa",log_sigma_work ~ dataset_id,general families not supported by bam
16,7053,gaussian_bam_mean_plus_log_resid_scale_bam,TRUE,1.12629580497742,0.944787541135455,0.941996914751585,0.0365330981480283,0.036396455558062,342.283629047736,"target_T0 ~ dataset_id + s(residue_type, bs = ""re"") + s(equivalence_class,      bs = ""re"") + s(protein_id, bs = ""re"") + te(phi_model, psi_model,      bs = c(""cc"", ""cc""), k = c(5, 5), by = phi_present) + phi_present +      s(chi1_model, bs = ""cc"", k = 4, by = chi1_exists) + chi1_exists +      s(chi2_model, bs = ""cc"", k = 4, by = chi2_exists) + chi2_exists +      s(chi3_model, bs = ""cc"", k = 4, by = chi3_exists) + chi3_exists +      prev_class + next_class + pre_proline + dssp_ss3 + rama_region +      s(nearest_ring_dist, k = 6) + s(nearest_bond_dist, k = 6) +      s(nearest_atom_dist, k = 6) + s(ring_cyl_z, k = 6) + s(ring_cyl_rho,      k = 6) + s(ring_angle_to_normal, k = 6) + n_atoms_4A + n_rings_4A +      n_charges_4A + n_bonds_4A + n_atoms_6A + n_rings_6A + n_charges_6A +      n_bonds_6A + n_atoms_8A + n_rings_8A + n_charges_8A + n_bonds_8A +      n_atoms_10A + n_rings_10A + n_charges_10A + n_bonds_10A +      nearest_charge_sign + ring_bs_T0 + ring_bs_absT2 + ring_hm_T0 +      ring_hm_absT2 + mopac_efield_mag + apbs_efield_mag + aimnet2_charge +      ff14sb_charge + mopac_charge + eeq_charge + eeq_cn + sasa +      dataset_id:ring_bs_T0 + dataset_id:ring_bs_absT2 + dataset_id:ring_hm_T0 +      dataset_id:ring_hm_absT2 + dataset_id:mopac_efield_mag +      dataset_id:apbs_efield_mag + dataset_id:aimnet2_charge +      dataset_id:ff14sb_charge + dataset_id:mopac_charge + dataset_id:eeq_charge +      dataset_id:eeq_cn + dataset_id:sasa",log_sigma_work ~ dataset_id,general families not supported by bam
