view,element,n,r2,rmse,mae
1p9j-calibration-dense-mopac-live-orca,1,303404,0.795443122104406,1.09734172541037,0.843220879741069
720_static,1,241636,-79.1990927168435,17.0530365685189,16.4012404794082
1p9j-calibration-dense-mopac-live-orca,16,5257,0.620663756490573,33.4541832680857,26.0786569549968
720_static,16,1796,-23.0973929736793,253.451948610792,243.020154718411
1p9j-calibration-dense-mopac-live-orca,6,211031,0.954333889119597,11.7237423949577,9.53447971006243
720_static,6,147051,-10.8895183462162,81.9335010919192,70.0980362265933
1p9j-calibration-dense-mopac-live-orca,7,54823,0.927552073433575,7.81238657790148,6.18151208353213
720_static,7,41425,-13.0696652505472,97.6634244154793,91.5158819736624
1p9j-calibration-dense-mopac-live-orca,8,60831,0.943517077518679,17.4090670259714,13.8382888037714
720_static,8,43208,-0.446659670024849,106.069372924341,84.7594582366218
combined_with_dataset_effect,1,545040,-0.459408449965121,11.3839880313059,7.7406552404947
combined_with_dataset_effect,16,7053,0.263835757551268,131.118059963289,81.3213806162886
combined_with_dataset_effect,6,358082,0.0927746653770398,53.2712190892665,34.405686722178
combined_with_dataset_effect,7,96248,-0.382065080945894,64.3425853413987,42.9093014682326
combined_with_dataset_effect,8,104039,0.252579035137776,69.639733167279,43.292261725989
