fold,element,block,r2_full,r2_without,delta_r2,n
fold_01,1,all_proxy_vs_L4,-0.529556084620868,-0.525511815096937,-0.00404426952393155,181053
fold_01,1,ring,-0.529556084620868,-0.531298652376098,0.0017425677552303,181053
fold_01,1,field_charge,-0.529556084620868,-0.523928002171419,-0.00562808244944946,181053
fold_01,6,all_proxy_vs_L4,0.0241280898965555,0.141414401137241,-0.117286311240686,119282
fold_01,6,ring,0.0241280898965555,0.0236625413575861,0.000465548538969407,119282
fold_01,6,field_charge,0.0241280898965555,0.142441872954858,-0.118313783058302,119282
fold_01,7,all_proxy_vs_L4,-0.353216559404227,-0.36479463131142,0.0115780719071923,31910
fold_01,7,ring,-0.353216559404227,-0.354161930915249,0.000945371511021253,31910
fold_01,7,field_charge,-0.353216559404227,-0.365814996928339,0.0125984375241115,31910
fold_01,8,all_proxy_vs_L4,0.244544981835944,0.294678802207145,-0.0501338203712009,34811
fold_01,8,ring,0.244544981835944,0.245282942046725,-0.000737960210780431,34811
fold_01,8,field_charge,0.244544981835944,0.292645869022699,-0.0481008871867544,34811
fold_01,16,all_proxy_vs_L4,0.261397638417761,0.264569885498356,-0.00317224708059471,2368
fold_01,16,ring,0.261397638417761,0.254375092410576,0.00702254600718477,2368
fold_01,16,field_charge,0.261397638417761,0.269082711428433,-0.00768507301067145,2368
fold_02,1,all_proxy_vs_L4,-0.522826326005879,-0.516920600483748,-0.00590572552213087,182506
fold_02,1,ring,-0.522826326005879,-0.522823562497311,-2.7635085677602e-06,182506
fold_02,1,field_charge,-0.522826326005879,-0.516637770209507,-0.00618855579637123,182506
fold_02,6,all_proxy_vs_L4,0.118254779654562,0.296889759351043,-0.178634979696481,119811
fold_02,6,ring,0.118254779654562,0.121225568241053,-0.0029707885864908,119811
fold_02,6,field_charge,0.118254779654562,0.295875291322932,-0.17762051166837,119811
fold_02,7,all_proxy_vs_L4,-0.396229976312648,-0.401446252197541,0.00521627588489326,32241
fold_02,7,ring,-0.396229976312648,-0.395209244143417,-0.00102073216923104,32241
fold_02,7,field_charge,-0.396229976312648,-0.400670711856817,0.00444073554416979,32241
fold_02,8,all_proxy_vs_L4,0.268671321902125,0.314459036888579,-0.0457877149864544,34847
fold_02,8,ring,0.268671321902125,0.268840137422362,-0.00016881552023762,34847
fold_02,8,field_charge,0.268671321902125,0.312996582138385,-0.04432526023626,34847
fold_02,16,all_proxy_vs_L4,0.252226434579897,0.259878674512701,-0.00765223993280484,2343
fold_02,16,ring,0.252226434579897,0.251294901196821,0.000931533383076055,2343
fold_02,16,field_charge,0.252226434579897,0.258441224407942,-0.00621478982804569,2343
fold_03,1,all_proxy_vs_L4,-0.517029099266645,-0.515929695014267,-0.00109940425237753,181481
fold_03,1,ring,-0.517029099266645,-0.516665828063231,-0.00036327120341384,181481
fold_03,1,field_charge,-0.517029099266645,-0.516489320738991,-0.000539778527653301,181481
fold_03,6,all_proxy_vs_L4,0.181547331731168,0.291202022654106,-0.109654690922938,118989
fold_03,6,ring,0.181547331731168,0.182384888033187,-0.000837556302018427,118989
fold_03,6,field_charge,0.181547331731168,0.290890925146652,-0.109343593415484,118989
fold_03,7,all_proxy_vs_L4,-0.397966063391158,-0.40838970865903,0.0104236452678723,32097
fold_03,7,ring,-0.397966063391158,-0.39641519042759,-0.0015508729635676,32097
fold_03,7,field_charge,-0.397966063391158,-0.410233459489897,0.0122673960987389,32097
fold_03,8,all_proxy_vs_L4,0.249371083177317,0.297806628338572,-0.0484355451612553,34381
fold_03,8,ring,0.249371083177317,0.249633660726837,-0.000262577549520193,34381
fold_03,8,field_charge,0.249371083177317,0.297261874816967,-0.04789079163965,34381
fold_03,16,all_proxy_vs_L4,0.274062048697989,0.267546512541986,0.00651553615600364,2342
fold_03,16,ring,0.274062048697989,0.284977645633561,-0.0109155969355723,2342
fold_03,16,field_charge,0.274062048697989,0.2579436572363,0.0161183914616895,2342
