element,n,pearson,spearman,r2,rmse,mae
1,241636,0.298179781554671,0.288134019000546,0.0885701162500759,0.0701797431496124,0.0556425242613812
6,147051,0.788405038389711,0.787105250353241,0.62158147984794,0.40267491077719,0.277920921496048
7,41425,0.497416715121335,0.44079294525206,0.247382159013766,0.616565361214595,0.476542434961536
8,43208,0.314999897073644,0.246132576557908,0.0991326568082029,2.28589601529085,1.84805958527004
16,1796,0.20762108953238,0.192103976359861,0.0242731815201303,1.34779174349675,1.12290693970221
