element,n,pearson,spearman,r2,rmse,mae
1,241636,0.369058909437539,0.349288037969365,0.136192265940787,0.928026861747522,0.733972880934499
16,1796,0.256104872095969,0.219512875834421,0.0498119795694772,1.75526421218762,1.22672252138756
6,147051,0.792492128160392,0.789712277767059,0.628042577291622,0.608388216748923,0.418979739094973
7,41425,0.481831351191329,0.435287745965449,0.232123654451444,0.868636882528419,0.677122877689108
8,43208,0.307559619296565,0.232736772135738,0.0944976965364557,0.943617185435154,0.764607484455733
